order_id,customer_id,product_id,category,sub_category,region,shipping_mode,order_date,ship_date,quantity,sales,discount,profit,shipping_duration,order_year,order_month,order_quarter,profit_margin,is_high_value
ORD-94607,CUST-0154,PROD-0118,Furniture,Chairs,North,Same Day,2023-11-15,2023-11-20,2,128.43,0.0,57.57,5,2023,11,4,0.4482597523943004,0
ORD-27361,CUST-0478,PROD-0090,Technology,Accessories,East,Second Class,2023-03-22,2023-03-26,9,1061.24,0.3,5.14,4,2023,3,1,0.0048433907504428775,0
ORD-95717,CUST-0271,PROD-0003,Office Supplies,Art,North,First Class,2023-05-16,2023-05-17,2,1118.78,0.0,579.86,1,2023,5,2,0.5182967160657145,0
ORD-89276,CUST-0108,PROD-0184,Furniture,Tables,East,Same Day,2023-05-09,2023-05-16,1,156.6,0.2,23.68,7,2023,5,2,0.151213282247765,0
ORD-15778,CUST-0002,PROD-0086,Technology,Machines,South,Same Day,2023-10-10,2023-10-16,7,850.14,0.0,490.89,6,2023,10,4,0.577422542169525,0
ORD-29536,CUST-0280,PROD-0010,Furniture,Tables,West,First Class,2023-01-22,2023-01-25,6,1350.49,0.0,446.1,3,2023,1,1,0.3303245488674481,1
ORD-37535,CUST-0350,PROD-0064,Office Supplies,Paper,East,Same Day,2023-11-14,2023-11-20,3,1390.13,0.0,473.5,6,2023,11,4,0.34061562587671657,1
ORD-33206,CUST-0452,PROD-0106,Technology,Accessories,East,Same Day,2023-12-09,2023-12-16,4,414.87,0.5,28.03,7,2023,12,4,0.06756333309229397,0
ORD-15075,CUST-0440,PROD-0121,Technology,Accessories,West,Second Class,2023-06-06,2023-06-13,4,349.93,0.5,14.72,7,2023,6,2,0.04206555596833653,0
ORD-53025,CUST-0143,PROD-0018,Furniture,Bookcases,West,Second Class,2023-01-15,2023-01-16,5,284.28,0.1,138.88,1,2023,1,1,0.4885324328127199,0
ORD-88193,CUST-0223,PROD-0089,Office Supplies,Art,West,Standard Class,2023-07-17,2023-07-22,4,396.99,0.5,-12.23,5,2023,7,3,-0.030806821330512105,0
ORD-78146,CUST-0474,PROD-0138,Office Supplies,Binders,East,Same Day,2023-02-05,2023-02-11,6,942.27,0.5,-145.49,6,2023,2,1,-0.15440372716949496,0
ORD-49363,CUST-0260,PROD-0080,Office Supplies,Storage,East,Same Day,2023-12-23,2023-12-26,9,208.39,0.2,41.79,3,2023,12,4,0.200537453812563,0
ORD-59695,CUST-0347,PROD-0192,Technology,Machines,West,Standard Class,2023-06-05,2023-06-08,4,656.23,0.3,77.44,3,2023,6,2,0.11800740593999054,0
ORD-52237,CUST-0239,PROD-0114,Furniture,Tables,West,First Class,2023-12-04,2023-12-05,5,782.87,0.5,-67.15,1,2023,12,4,-0.08577413874589651,0
ORD-22240,CUST-0420,PROD-0193,Technology,Machines,South,First Class,2023-03-17,2023-03-18,1,382.37,0.2,82.83,1,2023,3,1,0.2166226429897743,0
ORD-19545,CUST-0234,PROD-0107,Office Supplies,Binders,West,Same Day,2023-07-24,2023-07-26,3,990.97,0.0,329.2,2,2023,7,3,0.33219976386772554,0
ORD-23970,CUST-0399,PROD-0109,Technology,Accessories,West,Standard Class,2023-10-13,2023-10-15,2,695.56,0.2,138.92,2,2023,10,4,0.19972396342515383,0
ORD-83259,CUST-0305,PROD-0082,Furniture,Furnishings,West,First Class,2023-09-01,2023-09-05,5,1132.63,0.5,19.04,4,2023,9,3,0.01681043235655068,0
ORD-78327,CUST-0249,PROD-0161,Technology,Machines,West,Standard Class,2024-01-01,2024-01-04,4,422.14,0.1,97.98,3,2024,1,1,0.23210309376036387,0
ORD-20561,CUST-0071,PROD-0039,Technology,Copiers,South,First Class,2023-02-02,2023-02-06,7,509.7,0.2,140.3,4,2023,2,1,0.2752599568373553,0
ORD-37110,CUST-0427,PROD-0108,Furniture,Chairs,West,Same Day,2023-01-04,2023-01-07,5,1135.14,0.2,270.77,3,2023,1,1,0.23853445389995945,0
ORD-81582,CUST-0410,PROD-0155,Technology,Copiers,South,Second Class,2023-08-12,2023-08-16,1,595.51,0.5,-61.78,4,2023,8,3,-0.10374301019294387,0
ORD-62994,CUST-0371,PROD-0043,Furniture,Tables,North,Same Day,2023-10-31,2023-11-05,1,144.24,0.2,51.82,5,2023,10,4,0.3592623405435385,0
ORD-70515,CUST-0094,PROD-0013,Furniture,Furnishings,East,First Class,2023-08-21,2023-08-24,6,1146.62,0.2,362.93,3,2023,8,3,0.3165216026233626,1
ORD-65255,CUST-0130,PROD-0021,Furniture,Chairs,North,Second Class,2023-04-25,2023-05-01,2,1176.22,0.5,103.42,6,2023,4,2,0.08792572818010236,1
ORD-14067,CUST-0487,PROD-0064,Technology,Phones,South,First Class,2023-03-06,2023-03-10,2,854.67,0.0,393.57,4,2023,3,1,0.4604935238162098,0
ORD-43586,CUST-0393,PROD-0095,Technology,Phones,South,Second Class,2023-02-25,2023-03-02,1,1394.75,0.3,135.01,5,2023,2,1,0.09679870944613729,1
ORD-59192,CUST-0204,PROD-0184,Technology,Phones,South,Standard Class,2023-12-23,2023-12-30,5,1278.43,0.3,74.59,7,2023,12,4,0.05834500129064556,1
ORD-84177,CUST-0401,PROD-0011,Furniture,Furnishings,East,Standard Class,2023-09-17,2023-09-23,6,38.73,0.2,5.94,6,2023,9,3,0.15336948102246323,0
ORD-23833,CUST-0222,PROD-0093,Office Supplies,Storage,South,Same Day,2023-04-01,2023-04-07,9,1448.9,0.1,456.73,6,2023,4,2,0.31522534336393127,1
ORD-80539,CUST-0397,PROD-0124,Furniture,Furnishings,East,Second Class,2023-05-06,2023-05-13,2,432.81,0.2,141.46,7,2023,5,2,0.32684087705921766,0
ORD-70910,CUST-0292,PROD-0157,Office Supplies,Storage,East,Standard Class,2023-09-11,2023-09-18,6,289.12,0.0,142.7,7,2023,9,3,0.49356668511344765,0
ORD-43862,CUST-0175,PROD-0072,Office Supplies,Art,North,First Class,2023-02-13,2023-02-15,7,743.1,0.0,291.9,2,2023,2,1,0.39281388776746057,0
ORD-94659,CUST-0365,PROD-0126,Furniture,Chairs,North,Second Class,2023-04-24,2023-04-28,4,473.18,0.3,89.57,4,2023,4,2,0.1892937148653789,0
ORD-82544,CUST-0272,PROD-0089,Furniture,Bookcases,East,Same Day,2023-05-19,2023-05-22,5,361.2,0.5,15.25,3,2023,5,2,0.04222037652270211,0
ORD-25670,CUST-0381,PROD-0138,Office Supplies,Binders,South,First Class,2023-09-05,2023-09-08,10,1465.38,0.3,177.26,3,2023,9,3,0.12096521038911408,1
ORD-23176,CUST-0427,PROD-0050,Furniture,Tables,East,First Class,2023-06-04,2023-06-05,9,207.34,0.0,63.8,1,2023,6,2,0.3077071476801389,0
ORD-82529,CUST-0150,PROD-0179,Technology,Copiers,North,Standard Class,2023-10-21,2023-10-24,8,728.5,0.1,323.96,3,2023,10,4,0.44469457789979405,0
ORD-16734,CUST-0130,PROD-0123,Technology,Phones,West,Same Day,2023-02-07,2023-02-12,1,244.56,0.3,3.73,5,2023,2,1,0.015251880929015374,0
ORD-21164,CUST-0128,PROD-0031,Office Supplies,Storage,South,Same Day,2023-08-19,2023-08-23,5,1293.05,0.2,398.76,4,2023,8,3,0.30838714666872896,1
ORD-91399,CUST-0031,PROD-0157,Office Supplies,Paper,South,First Class,2023-05-16,2023-05-22,2,252.44,0.0,109.66,6,2023,5,2,0.43440025352559025,0
ORD-30517,CUST-0002,PROD-0105,Furniture,Furnishings,East,Standard Class,2023-04-29,2023-05-02,5,1060.42,0.2,401.52,3,2023,4,2,0.37864242469964726,0
ORD-40595,CUST-0474,PROD-0068,Office Supplies,Binders,West,Standard Class,2023-10-06,2023-10-08,3,1364.45,0.0,789.44,2,2023,10,4,0.5785774487888893,1
ORD-31747,CUST-0406,PROD-0079,Office Supplies,Art,West,Standard Class,2023-08-28,2023-09-03,5,1055.61,0.1,369.31,6,2023,8,3,0.34985458644764644,0
ORD-74722,CUST-0225,PROD-0021,Office Supplies,Paper,West,Second Class,2023-11-06,2023-11-09,1,155.16,0.5,-23.4,3,2023,11,4,-0.15081206496519722,0
ORD-85392,CUST-0301,PROD-0006,Office Supplies,Art,North,First Class,2023-08-29,2023-09-03,8,1375.79,0.0,414.0,5,2023,8,3,0.3009180180114698,1
ORD-67132,CUST-0326,PROD-0126,Technology,Copiers,East,Same Day,2023-06-20,2023-06-23,2,1289.44,0.1,485.48,3,2023,6,2,0.37650452909790294,1
ORD-74942,CUST-0148,PROD-0170,Furniture,Chairs,West,Standard Class,2023-06-11,2023-06-14,6,191.56,0.2,26.92,3,2023,6,2,0.14053038212570473,0
ORD-10150,CUST-0337,PROD-0139,Furniture,Furnishings,North,First Class,2023-09-23,2023-09-26,10,1139.54,0.5,-37.16,3,2023,9,3,-0.032609649507696084,1
ORD-16764,CUST-0105,PROD-0069,Office Supplies,Binders,East,Same Day,2023-12-24,2023-12-28,2,62.73,0.5,-5.19,4,2023,12,4,-0.08273553323768533,0
ORD-41365,CUST-0364,PROD-0041,Furniture,Chairs,West,Standard Class,2023-04-26,2023-05-03,2,702.94,0.0,285.17,7,2023,4,2,0.4056818505135573,0
ORD-30181,CUST-0256,PROD-0184,Furniture,Bookcases,West,Same Day,2023-08-30,2023-09-01,8,835.87,0.2,286.55,2,2023,8,3,0.34281646667543997,0
ORD-88561,CUST-0261,PROD-0192,Technology,Phones,East,Same Day,2023-06-24,2023-07-01,9,415.42,0.0,214.0,7,2023,6,2,0.5151413027779115,0
ORD-49132,CUST-0429,PROD-0151,Office Supplies,Storage,South,Same Day,2023-10-03,2023-10-07,6,512.01,0.3,95.66,4,2023,10,4,0.18683228843186656,0
ORD-52176,CUST-0446,PROD-0049,Office Supplies,Binders,West,First Class,2023-07-30,2023-07-31,6,1122.16,0.5,-195.29,1,2023,7,3,-0.17403044129179437,0
ORD-59968,CUST-0198,PROD-0170,Office Supplies,Binders,West,Standard Class,2023-03-06,2023-03-11,10,511.35,0.0,172.7,5,2023,3,1,0.3377334506697956,0
ORD-67711,CUST-0052,PROD-0135,Furniture,Chairs,South,Same Day,2023-12-02,2023-12-04,2,714.85,0.1,284.82,2,2023,12,4,0.39843323774218364,0
ORD-62098,CUST-0333,PROD-0021,Furniture,Furnishings,East,Same Day,2023-10-05,2023-10-06,10,121.26,0.5,-12.77,1,2023,10,4,-0.10531090219363351,0
ORD-47667,CUST-0117,PROD-0192,Technology,Copiers,North,Standard Class,2023-08-16,2023-08-18,5,1357.07,0.0,682.18,2,2023,8,3,0.5026859336659126,1
ORD-17355,CUST-0151,PROD-0092,Furniture,Furnishings,South,First Class,2023-09-29,2023-10-03,10,1029.06,0.0,564.96,4,2023,9,3,0.5490058888694538,0
ORD-20350,CUST-0313,PROD-0098,Office Supplies,Binders,West,First Class,2023-04-29,2023-05-03,5,700.16,0.5,68.04,4,2023,4,2,0.09717778793418648,0
ORD-70981,CUST-0462,PROD-0074,Office Supplies,Binders,North,Same Day,2023-06-26,2023-07-01,5,965.63,0.2,186.28,5,2023,6,2,0.19291032797241178,0
ORD-69878,CUST-0433,PROD-0078,Technology,Copiers,West,Standard Class,2023-05-02,2023-05-06,10,551.26,0.1,111.46,4,2023,5,2,0.2021913434676922,0
ORD-48696,CUST-0012,PROD-0169,Furniture,Bookcases,North,Standard Class,2023-11-07,2023-11-13,8,1252.6,0.1,334.79,6,2023,11,4,0.26727606578317104,1
ORD-40162,CUST-0311,PROD-0091,Technology,Accessories,East,First Class,2023-11-18,2023-11-19,1,477.22,0.2,186.11,1,2023,11,4,0.3899878462763505,0
ORD-57823,CUST-0375,PROD-0034,Technology,Machines,East,Same Day,2023-03-31,2023-04-02,3,1184.04,0.1,403.45,2,2023,3,1,0.34074017769669945,1
ORD-45720,CUST-0426,PROD-0043,Furniture,Furnishings,East,Second Class,2023-02-28,2023-03-04,2,228.32,0.0,78.08,4,2023,2,1,0.3419761737911703,0
ORD-98395,CUST-0204,PROD-0143,Furniture,Chairs,West,Standard Class,2023-05-16,2023-05-21,2,693.08,0.5,-86.43,5,2023,5,2,-0.1247042188491949,0
ORD-44362,CUST-0300,PROD-0098,Office Supplies,Art,North,First Class,2023-08-30,2023-08-31,10,1328.67,0.3,267.86,1,2023,8,3,0.20160009633693843,1
ORD-89964,CUST-0114,PROD-0166,Technology,Copiers,East,Same Day,2023-03-01,2023-03-03,1,1420.47,0.1,285.83,2,2023,3,1,0.20122213070321793,1
ORD-25220,CUST-0050,PROD-0061,Office Supplies,Binders,West,Same Day,2023-07-09,2023-07-15,9,640.31,0.5,-75.54,6,2023,7,3,-0.11797410629226471,0
ORD-64379,CUST-0336,PROD-0026,Furniture,Furnishings,East,Standard Class,2023-12-20,2023-12-23,4,676.21,0.0,232.19,3,2023,12,4,0.34336966327028584,0
ORD-23022,CUST-0352,PROD-0095,Office Supplies,Art,North,Same Day,2023-05-22,2023-05-24,2,1424.54,0.2,530.64,2,2023,5,2,0.3724991927218611,1
ORD-37801,CUST-0329,PROD-0164,Office Supplies,Paper,North,Second Class,2023-05-05,2023-05-07,10,323.7,0.3,76.99,2,2023,5,2,0.23784368242199566,0
ORD-38305,CUST-0417,PROD-0060,Furniture,Tables,North,Second Class,2023-03-16,2023-03-18,9,390.97,0.0,221.69,2,2023,3,1,0.5670256029874414,0
ORD-13379,CUST-0068,PROD-0004,Furniture,Tables,East,Standard Class,2023-03-31,2023-04-03,1,207.6,0.2,50.28,3,2023,3,1,0.24219653179190753,0
ORD-18330,CUST-0244,PROD-0115,Furniture,Chairs,West,First Class,2023-11-11,2023-11-12,9,466.41,0.5,-88.25,1,2023,11,4,-0.189211209022105,0
ORD-17972,CUST-0246,PROD-0103,Furniture,Chairs,West,Same Day,2023-02-07,2023-02-08,6,920.28,0.0,517.33,1,2023,2,1,0.562144130047377,0
ORD-91830,CUST-0325,PROD-0150,Office Supplies,Art,West,Second Class,2023-08-21,2023-08-26,10,656.7,0.5,43.13,5,2023,8,3,0.06567686919445713,0
ORD-95814,CUST-0334,PROD-0197,Office Supplies,Binders,West,Same Day,2023-04-27,2023-05-01,6,1244.58,0.2,342.51,4,2023,4,2,0.2752012727185075,1
ORD-22463,CUST-0161,PROD-0110,Furniture,Bookcases,East,First Class,2023-12-18,2023-12-22,2,155.01,0.0,88.67,4,2023,12,4,0.5720276111218632,0
ORD-22656,CUST-0382,PROD-0190,Furniture,Tables,North,Second Class,2023-12-10,2023-12-11,7,543.33,0.5,-99.07,1,2023,12,4,-0.1823385419542451,0
ORD-65435,CUST-0445,PROD-0185,Technology,Machines,East,Second Class,2023-02-23,2023-02-28,9,334.85,0.5,-14.95,5,2023,2,1,-0.04464685680155293,0
ORD-24184,CUST-0180,PROD-0143,Furniture,Chairs,East,First Class,2023-08-08,2023-08-15,9,1462.33,0.3,169.53,7,2023,8,3,0.11593142450746412,1
ORD-94239,CUST-0286,PROD-0007,Office Supplies,Art,North,First Class,2023-05-20,2023-05-26,5,1383.88,0.1,689.41,6,2023,5,2,0.4981718068040581,1
ORD-28776,CUST-0290,PROD-0169,Furniture,Chairs,South,Standard Class,2023-02-16,2023-02-22,9,338.4,0.2,89.31,6,2023,2,1,0.26391843971631207,0
ORD-30631,CUST-0190,PROD-0080,Office Supplies,Art,North,Standard Class,2023-03-21,2023-03-23,10,93.65,0.0,48.55,2,2023,3,1,0.5184196476241324,0
ORD-96761,CUST-0218,PROD-0125,Office Supplies,Storage,West,Second Class,2023-04-21,2023-04-28,9,188.45,0.2,69.11,7,2023,4,2,0.36672857521889096,0
ORD-98895,CUST-0348,PROD-0152,Furniture,Bookcases,North,First Class,2023-07-22,2023-07-27,1,31.38,0.1,6.79,5,2023,7,3,0.2163798597833015,0
ORD-27987,CUST-0392,PROD-0066,Furniture,Bookcases,North,Standard Class,2023-09-12,2023-09-18,7,280.03,0.2,67.27,6,2023,9,3,0.24022426168624791,0
ORD-40161,CUST-0257,PROD-0144,Office Supplies,Art,North,Same Day,2023-01-22,2023-01-26,1,700.44,0.0,239.11,4,2023,1,1,0.34137113814173947,0
ORD-85465,CUST-0220,PROD-0147,Furniture,Furnishings,East,Standard Class,2023-07-27,2023-07-28,6,274.37,0.3,44.44,1,2023,7,3,0.1619710609760542,0
ORD-57428,CUST-0046,PROD-0112,Technology,Accessories,West,Same Day,2023-09-26,2023-09-27,7,1308.38,0.5,-2.43,1,2023,9,3,-0.0018572585945978996,1
ORD-53655,CUST-0399,PROD-0044,Technology,Phones,South,Second Class,2023-06-29,2023-07-05,3,369.68,0.0,193.42,6,2023,6,2,0.5232092620644881,0
ORD-32740,CUST-0309,PROD-0040,Office Supplies,Paper,South,Same Day,2023-08-26,2023-09-02,10,1144.62,0.2,223.96,7,2023,8,3,0.19566318953014977,1
ORD-83989,CUST-0330,PROD-0163,Office Supplies,Art,East,First Class,2023-08-14,2023-08-15,8,674.47,0.1,176.1,1,2023,8,3,0.2610938959479295,0
ORD-87518,CUST-0029,PROD-0091,Office Supplies,Paper,East,Same Day,2023-08-20,2023-08-21,1,565.73,0.1,269.84,1,2023,8,3,0.4769766496385201,0
ORD-21835,CUST-0315,PROD-0153,Office Supplies,Storage,West,Standard Class,2023-08-19,2023-08-26,10,984.72,0.1,313.63,7,2023,8,3,0.31849662848322363,0
ORD-75715,CUST-0078,PROD-0016,Furniture,Chairs,East,Standard Class,2023-09-16,2023-09-22,3,77.93,0.5,-2.44,6,2023,9,3,-0.0313101501347363,0
ORD-67595,CUST-0269,PROD-0134,Office Supplies,Binders,East,Second Class,2023-05-25,2023-05-29,7,1166.21,0.5,-92.56,4,2023,5,2,-0.0793682098421382,1
ORD-92691,CUST-0332,PROD-0086,Technology,Machines,North,Same Day,2023-05-26,2023-05-29,10,1312.45,0.1,624.13,3,2023,5,2,0.4755457350756219,1
ORD-96980,CUST-0073,PROD-0090,Furniture,Furnishings,South,Standard Class,2023-06-08,2023-06-13,7,972.37,0.1,248.97,5,2023,6,2,0.25604450980593807,0
ORD-97833,CUST-0360,PROD-0190,Office Supplies,Paper,West,Second Class,2023-01-10,2023-01-13,5,286.79,0.0,142.67,3,2023,1,1,0.49747201785278417,0
ORD-73736,CUST-0099,PROD-0058,Technology,Accessories,North,Second Class,2023-02-21,2023-02-26,9,1255.98,0.3,362.57,5,2023,2,1,0.2886749789009379,1
ORD-54140,CUST-0449,PROD-0197,Office Supplies,Binders,West,First Class,2023-03-25,2023-03-27,10,1217.38,0.0,467.04,2,2023,3,1,0.38364356240450803,1
ORD-15726,CUST-0211,PROD-0094,Office Supplies,Binders,West,Second Class,2023-08-18,2023-08-20,9,373.97,0.2,48.17,2,2023,8,3,0.12880712356606144,0
ORD-35430,CUST-0189,PROD-0174,Office Supplies,Storage,West,Second Class,2023-07-15,2023-07-20,9,639.62,0.0,227.02,5,2023,7,3,0.35492948938432195,0
ORD-89254,CUST-0071,PROD-0065,Technology,Copiers,East,Standard Class,2023-12-31,2024-01-07,9,1279.73,0.1,607.66,7,2023,12,4,0.47483453540981296,1
ORD-31012,CUST-0140,PROD-0116,Office Supplies,Binders,West,Standard Class,2023-04-24,2023-05-01,8,1329.25,0.0,632.1,7,2023,4,2,0.4755313146511191,1
ORD-61964,CUST-0258,PROD-0096,Technology,Copiers,North,Second Class,2023-04-25,2023-04-26,6,1397.62,0.5,-132.76,1,2023,4,2,-0.09499005452125757,1
ORD-29142,CUST-0071,PROD-0010,Furniture,Furnishings,South,Same Day,2023-08-18,2023-08-23,1,1360.67,0.0,711.93,5,2023,8,3,0.5232201782945166,1
ORD-29597,CUST-0281,PROD-0187,Office Supplies,Storage,North,Second Class,2023-05-02,2023-05-05,2,90.67,0.2,18.89,3,2023,5,2,0.2083379287526194,0
ORD-91633,CUST-0235,PROD-0017,Technology,Copiers,North,First Class,2023-03-15,2023-03-18,7,22.32,0.1,9.55,3,2023,3,1,0.42786738351254483,0
ORD-64600,CUST-0096,PROD-0171,Office Supplies,Paper,East,Standard Class,2023-09-27,2023-10-02,9,1183.89,0.3,158.35,5,2023,9,3,0.133753980521839,1
ORD-61177,CUST-0448,PROD-0121,Technology,Copiers,East,Second Class,2023-01-09,2023-01-12,2,530.31,0.5,-51.51,3,2023,1,1,-0.0971318662669005,0
ORD-23587,CUST-0396,PROD-0149,Office Supplies,Art,South,Standard Class,2023-06-30,2023-07-05,6,1223.99,0.0,429.48,5,2023,6,2,0.35088521965048736,1
ORD-99742,CUST-0238,PROD-0179,Furniture,Tables,South,Standard Class,2023-08-23,2023-08-24,5,318.35,0.0,106.41,1,2023,8,3,0.3342547510601539,0
ORD-51365,CUST-0478,PROD-0080,Office Supplies,Storage,West,Second Class,2023-01-19,2023-01-26,4,443.44,0.0,150.89,7,2023,1,1,0.34027151362078295,0
ORD-53506,CUST-0140,PROD-0032,Furniture,Furnishings,West,Same Day,2023-07-17,2023-07-20,3,754.38,0.2,218.62,3,2023,7,3,0.28980089610010873,0
ORD-78062,CUST-0137,PROD-0022,Office Supplies,Storage,North,Same Day,2023-11-05,2023-11-12,3,827.3,0.1,388.19,7,2023,11,4,0.4692251903783392,0
ORD-52981,CUST-0339,PROD-0076,Furniture,Furnishings,West,First Class,2023-12-20,2023-12-24,6,681.75,0.5,-109.77,4,2023,12,4,-0.161012101210121,0
ORD-56210,CUST-0315,PROD-0112,Furniture,Chairs,North,Same Day,2023-07-06,2023-07-11,3,1430.13,0.0,493.97,5,2023,7,3,0.34540216623663583,1
ORD-98878,CUST-0401,PROD-0113,Technology,Accessories,North,First Class,2023-11-27,2023-11-30,6,586.62,0.3,170.29,3,2023,11,4,0.29029013671542053,0
ORD-30111,CUST-0348,PROD-0116,Furniture,Bookcases,West,Standard Class,2023-10-21,2023-10-23,9,563.09,0.1,171.82,2,2023,10,4,0.30513772221136937,0
ORD-42717,CUST-0492,PROD-0030,Technology,Accessories,West,Same Day,2023-10-15,2023-10-16,5,1166.95,0.5,-39.54,1,2023,10,4,-0.03388319979433566,1
ORD-90199,CUST-0147,PROD-0178,Furniture,Tables,North,First Class,2023-02-07,2023-02-11,3,1350.04,0.2,136.11,4,2023,2,1,0.10081923498563007,1
ORD-99381,CUST-0496,PROD-0082,Office Supplies,Art,North,Second Class,2023-06-03,2023-06-10,3,1073.48,0.5,-98.02,7,2023,6,2,-0.09131050415471177,0
ORD-57381,CUST-0261,PROD-0058,Technology,Accessories,South,First Class,2023-09-10,2023-09-11,6,839.95,0.1,302.2,1,2023,9,3,0.3597833204357402,0
ORD-82305,CUST-0067,PROD-0157,Technology,Phones,East,Same Day,2023-09-03,2023-09-08,7,1158.36,0.3,321.88,5,2023,9,3,0.27787561725197696,1
ORD-51553,CUST-0329,PROD-0019,Furniture,Furnishings,East,First Class,2023-10-10,2023-10-16,10,289.31,0.0,136.04,6,2023,10,4,0.4702222529466662,0
ORD-17263,CUST-0426,PROD-0032,Office Supplies,Binders,East,First Class,2023-03-24,2023-03-27,4,532.11,0.3,16.77,3,2023,3,1,0.0315160399165586,0
ORD-20336,CUST-0129,PROD-0051,Office Supplies,Art,South,Second Class,2023-11-11,2023-11-16,2,763.81,0.0,322.68,5,2023,11,4,0.4224610832536888,0
ORD-86106,CUST-0079,PROD-0044,Office Supplies,Art,North,Standard Class,2023-02-11,2023-02-12,10,411.69,0.0,152.29,1,2023,2,1,0.3699142558721368,0
ORD-64602,CUST-0317,PROD-0164,Technology,Copiers,East,Second Class,2023-09-05,2023-09-07,7,460.2,0.0,181.05,2,2023,9,3,0.39341590612777055,0
