Order_ID,Customer_ID,Product_ID,Category,Sub_Category,Region,Shipping_Mode,Order_Date,Ship_Date,Quantity,Sales,Discount,Profit
ORD-27361,CUST-0478,PROD-0090,Technology,Accessories,East,Second Class,2023-03-22,2023-03-26,9,1061.24,0.3,5.14
ORD-95717,CUST-0271,PROD-0003,Office Supplies,Art,North,First Class,2023-05-16,2023-05-17,2,1118.78,0.0,579.86
ORD-89276,CUST-0108,PROD-0184,Furniture,Tables,East,Same Day,2023-05-09,2023-05-16,1,156.6,0.2,23.68
ORD-15778,CUST-0002,PROD-0086,Technology,Machines,South,Same Day,2023-10-10,2023-10-16,7,850.14,0.0,490.89
ORD-29536,CUST-0280,PROD-0010,Furniture,Tables,West,First Class,2023-01-22,2023-01-25,6,1350.49,0.0,446.1
ORD-37535,CUST-0350,PROD-0064,Office Supplies,Paper,East,Same Day,2023-11-14,2023-11-20,3,1390.13,0.0,473.5
ORD-33206,CUST-0452,PROD-0106,Technology,Accessories,East,Same Day,2023-12-09,2023-12-16,4,414.87,0.5,28.03
ORD-15075,CUST-0440,PROD-0121,Technology,Accessories,West,Second Class,2023-06-06,2023-06-13,4,349.93,0.5,14.72
ORD-53025,CUST-0143,PROD-0018,Furniture,Bookcases,West,Second Class,2023-01-15,2023-01-16,5,284.28,0.1,138.88
ORD-88193,CUST-0223,PROD-0089,Office Supplies,Art,West,Standard Class,2023-07-17,2023-07-22,4,396.99,0.5,-12.23
ORD-78146,CUST-0474,PROD-0138,Office Supplies,Binders,East,Same Day,2023-02-05,2023-02-11,6,942.27,0.5,-145.49
ORD-49363,CUST-0260,PROD-0080,Office Supplies,Storage,East,Same Day,2023-12-23,2023-12-26,9,208.39,0.2,41.79
ORD-59695,CUST-0347,PROD-0192,Technology,Machines,West,Standard Class,2023-06-05,2023-06-08,4,656.23,0.3,77.44
ORD-52237,CUST-0239,PROD-0114,Furniture,Tables,West,First Class,2023-12-04,2023-12-05,5,782.87,0.5,-67.15
ORD-22240,CUST-0420,PROD-0193,Technology,Machines,South,First Class,2023-03-17,2023-03-18,1,382.37,0.2,82.83
ORD-19545,CUST-0234,PROD-0107,Office Supplies,Binders,West,Same Day,2023-07-24,2023-07-26,3,990.97,0.0,329.2
ORD-23970,CUST-0399,PROD-0109,Technology,Accessories,West,Standard Class,2023-10-13,2023-10-15,2,695.56,0.2,138.92
ORD-83259,CUST-0305,PROD-0082,Furniture,Furnishings,West,First Class,2023-09-01,2023-09-05,5,1132.63,0.5,19.04
ORD-78327,CUST-0249,PROD-0161,Technology,Machines,West,Standard Class,2024-01-01,2024-01-04,4,422.14,0.1,97.98
ORD-20561,CUST-0071,PROD-0039,Technology,Copiers,South,First Class,2023-02-02,2023-02-06,7,509.7,0.2,140.3
ORD-37110,CUST-0427,PROD-0108,Furniture,Chairs,West,Same Day,2023-01-04,2023-01-07,5,1135.14,0.2,270.77
ORD-81582,CUST-0410,PROD-0155,Technology,Copiers,South,Second Class,2023-08-12,2023-08-16,1,595.51,0.5,-61.78
ORD-62994,CUST-0371,PROD-0043,Furniture,Tables,North,Same Day,2023-10-31,2023-11-05,1,144.24,0.2,51.82
ORD-70515,CUST-0094,PROD-0013,Furniture,Furnishings,East,First Class,2023-08-21,2023-08-24,6,1146.62,0.2,362.93
ORD-65255,CUST-0130,PROD-0021,Furniture,Chairs,North,Second Class,2023-04-25,2023-05-01,2,1176.22,0.5,103.42
ORD-14067,CUST-0487,PROD-0064,Technology,Phones,South,First Class,2023-03-06,2023-03-10,2,854.67,0.0,393.57
ORD-43586,CUST-0393,PROD-0095,Technology,Phones,South,Second Class,2023-02-25,2023-03-02,1,1394.75,0.3,135.01
ORD-59192,CUST-0204,PROD-0184,Technology,Phones,South,Standard Class,2023-12-23,2023-12-30,5,1278.43,0.3,74.59
ORD-84177,CUST-0401,PROD-0011,Furniture,Furnishings,East,Standard Class,2023-09-17,2023-09-23,6,38.73,0.2,5.94
ORD-23833,CUST-0222,PROD-0093,Office Supplies,Storage,South,Same Day,2023-04-01,2023-04-07,9,1448.9,0.1,456.73
ORD-80539,CUST-0397,PROD-0124,Furniture,Furnishings,East,Second Class,2023-05-06,2023-05-13,2,432.81,0.2,141.46
ORD-70910,CUST-0292,PROD-0157,Office Supplies,Storage,East,Standard Class,2023-09-11,2023-09-18,6,289.12,0.0,142.7
ORD-43862,CUST-0175,PROD-0072,Office Supplies,Art,North,First Class,2023-02-13,2023-02-15,7,743.1,0.0,291.9
ORD-94659,CUST-0365,PROD-0126,Furniture,Chairs,North,Second Class,2023-04-24,2023-04-28,4,473.18,0.3,89.57
ORD-82544,CUST-0272,PROD-0089,Furniture,Bookcases,East,Same Day,2023-05-19,2023-05-22,5,361.2,0.5,15.25
ORD-25670,CUST-0381,PROD-0138,Office Supplies,Binders,South,First Class,2023-09-05,2023-09-08,10,1465.38,0.3,177.26
ORD-23176,CUST-0427,PROD-0050,Furniture,Tables,East,First Class,2023-06-04,2023-06-05,9,207.34,0.0,63.8
ORD-82529,CUST-0150,PROD-0179,Technology,Copiers,North,Standard Class,2023-10-21,2023-10-24,8,728.5,0.1,323.96
ORD-16734,CUST-0130,PROD-0123,Technology,Phones,West,Same Day,2023-02-07,2023-02-12,1,244.56,0.3,3.73
ORD-21164,CUST-0128,PROD-0031,Office Supplies,Storage,South,Same Day,2023-08-19,2023-08-23,5,1293.05,0.2,398.76
ORD-91399,CUST-0031,PROD-0157,Office Supplies,Paper,South,First Class,2023-05-16,2023-05-22,2,252.44,0.0,109.66
ORD-30517,CUST-0002,PROD-0105,Furniture,Furnishings,East,Standard Class,2023-04-29,2023-05-02,5,1060.42,0.2,401.52
ORD-40595,CUST-0474,PROD-0068,Office Supplies,Binders,West,Standard Class,2023-10-06,2023-10-08,3,1364.45,0.0,789.44
ORD-31747,CUST-0406,PROD-0079,Office Supplies,Art,West,Standard Class,2023-08-28,2023-09-03,5,1055.61,0.1,369.31
ORD-74722,CUST-0225,PROD-0021,Office Supplies,Paper,West,Second Class,2023-11-06,2023-11-09,1,155.16,0.5,-23.4
ORD-85392,CUST-0301,PROD-0006,Office Supplies,Art,North,First Class,2023-08-29,2023-09-03,8,1375.79,0.0,414.0
ORD-67132,CUST-0326,PROD-0126,Technology,Copiers,East,Same Day,2023-06-20,2023-06-23,2,1289.44,0.1,485.48
ORD-74942,CUST-0148,PROD-0170,Furniture,Chairs,West,Standard Class,2023-06-11,2023-06-14,6,191.56,0.2,26.92
ORD-10150,CUST-0337,PROD-0139,Furniture,Furnishings,North,First Class,2023-09-23,2023-09-26,10,1139.54,0.5,-37.16
ORD-16764,CUST-0105,PROD-0069,Office Supplies,Binders,East,Same Day,2023-12-24,2023-12-28,2,62.73,0.5,-5.19
ORD-41365,CUST-0364,PROD-0041,Furniture,Chairs,West,Standard Class,2023-04-26,2023-05-03,2,702.94,0.0,285.17
ORD-30181,CUST-0256,PROD-0184,Furniture,Bookcases,West,Same Day,2023-08-30,2023-09-01,8,835.87,0.2,286.55
ORD-88561,CUST-0261,PROD-0192,Technology,Phones,East,Same Day,2023-06-24,2023-07-01,9,415.42,0.0,214.0
ORD-49132,CUST-0429,PROD-0151,Office Supplies,Storage,South,Same Day,2023-10-03,2023-10-07,6,512.01,0.3,95.66
ORD-52176,CUST-0446,PROD-0049,Office Supplies,Binders,West,First Class,2023-07-30,2023-07-31,6,1122.16,0.5,-195.29
ORD-59968,CUST-0198,PROD-0170,Office Supplies,Binders,West,Standard Class,2023-03-06,2023-03-11,10,511.35,0.0,172.7
ORD-67711,CUST-0052,PROD-0135,Furniture,Chairs,South,Same Day,2023-12-02,2023-12-04,2,714.85,0.1,284.82
ORD-62098,CUST-0333,PROD-0021,Furniture,Furnishings,East,Same Day,2023-10-05,2023-10-06,10,121.26,0.5,-12.77
ORD-47667,CUST-0117,PROD-0192,Technology,Copiers,North,Standard Class,2023-08-16,2023-08-18,5,1357.07,0.0,682.18
ORD-17355,CUST-0151,PROD-0092,Furniture,Furnishings,South,First Class,2023-09-29,2023-10-03,10,1029.06,0.0,564.96
ORD-20350,CUST-0313,PROD-0098,Office Supplies,Binders,West,First Class,2023-04-29,2023-05-03,5,700.16,0.5,68.04
ORD-70981,CUST-0462,PROD-0074,Office Supplies,Binders,North,Same Day,2023-06-26,2023-07-01,5,965.63,0.2,186.28
ORD-69878,CUST-0433,PROD-0078,Technology,Copiers,West,Standard Class,2023-05-02,2023-05-06,10,551.26,0.1,111.46
ORD-48696,CUST-0012,PROD-0169,Furniture,Bookcases,North,Standard Class,2023-11-07,2023-11-13,8,1252.6,0.1,334.79
ORD-40162,CUST-0311,PROD-0091,Technology,Accessories,East,First Class,2023-11-18,2023-11-19,1,477.22,0.2,186.11
ORD-57823,CUST-0375,PROD-0034,Technology,Machines,East,Same Day,2023-03-31,2023-04-02,3,1184.04,0.1,403.45
ORD-45720,CUST-0426,PROD-0043,Furniture,Furnishings,East,Second Class,2023-02-28,2023-03-04,2,228.32,0.0,78.08
ORD-98395,CUST-0204,PROD-0143,Furniture,Chairs,West,Standard Class,2023-05-16,2023-05-21,2,693.08,0.5,-86.43
ORD-44362,CUST-0300,PROD-0098,Office Supplies,Art,North,First Class,2023-08-30,2023-08-31,10,1328.67,0.3,267.86
ORD-89964,CUST-0114,PROD-0166,Technology,Copiers,East,Same Day,2023-03-01,2023-03-03,1,1420.47,0.1,285.83
ORD-25220,CUST-0050,PROD-0061,Office Supplies,Binders,West,Same Day,2023-07-09,2023-07-15,9,640.31,0.5,-75.54
ORD-64379,CUST-0336,PROD-0026,Furniture,Furnishings,East,Standard Class,2023-12-20,2023-12-23,4,676.21,0.0,232.19
ORD-23022,CUST-0352,PROD-0095,Office Supplies,Art,North,Same Day,2023-05-22,2023-05-24,2,1424.54,0.2,530.64
ORD-37801,CUST-0329,PROD-0164,Office Supplies,Paper,North,Second Class,2023-05-05,2023-05-07,10,323.7,0.3,76.99
ORD-38305,CUST-0417,PROD-0060,Furniture,Tables,North,Second Class,2023-03-16,2023-03-18,9,390.97,0.0,221.69
ORD-13379,CUST-0068,PROD-0004,Furniture,Tables,East,Standard Class,2023-03-31,2023-04-03,1,207.6,0.2,50.28
ORD-18330,CUST-0244,PROD-0115,Furniture,Chairs,West,First Class,2023-11-11,2023-11-12,9,466.41,0.5,-88.25
ORD-17972,CUST-0246,PROD-0103,Furniture,Chairs,West,Same Day,2023-02-07,2023-02-08,6,920.28,0.0,517.33
ORD-91830,CUST-0325,PROD-0150,Office Supplies,Art,West,Second Class,2023-08-21,2023-08-26,10,656.7,0.5,43.13
ORD-95814,CUST-0334,PROD-0197,Office Supplies,Binders,West,Same Day,2023-04-27,2023-05-01,6,1244.58,0.2,342.51
ORD-22463,CUST-0161,PROD-0110,Furniture,Bookcases,East,First Class,2023-12-18,2023-12-22,2,155.01,0.0,88.67
ORD-22656,CUST-0382,PROD-0190,Furniture,Tables,North,Second Class,2023-12-10,2023-12-11,7,543.33,0.5,-99.07
ORD-65435,CUST-0445,PROD-0185,Technology,Machines,East,Second Class,2023-02-23,2023-02-28,9,334.85,0.5,-14.95
ORD-24184,CUST-0180,PROD-0143,Furniture,Chairs,East,First Class,2023-08-08,2023-08-15,9,1462.33,0.3,169.53
ORD-94239,CUST-0286,PROD-0007,Office Supplies,Art,North,First Class,2023-05-20,2023-05-26,5,1383.88,0.1,689.41
ORD-28776,CUST-0290,PROD-0169,Furniture,Chairs,South,Standard Class,2023-02-16,2023-02-22,9,338.4,0.2,89.31
ORD-30631,CUST-0190,PROD-0080,Office Supplies,Art,North,Standard Class,2023-03-21,2023-03-23,10,93.65,0.0,48.55
ORD-96761,CUST-0218,PROD-0125,Office Supplies,Storage,West,Second Class,2023-04-21,2023-04-28,9,188.45,0.2,69.11
ORD-98895,CUST-0348,PROD-0152,Furniture,Bookcases,North,First Class,2023-07-22,2023-07-27,1,31.38,0.1,6.79
ORD-27987,CUST-0392,PROD-0066,Furniture,Bookcases,North,Standard Class,2023-09-12,2023-09-18,7,280.03,0.2,67.27
ORD-40161,CUST-0257,PROD-0144,Office Supplies,Art,North,Same Day,2023-01-22,2023-01-26,1,700.44,0.0,239.11
ORD-85465,CUST-0220,PROD-0147,Furniture,Furnishings,East,Standard Class,2023-07-27,2023-07-28,6,274.37,0.3,44.44
ORD-57428,CUST-0046,PROD-0112,Technology,Accessories,West,Same Day,2023-09-26,2023-09-27,7,1308.38,0.5,-2.43
ORD-53655,CUST-0399,PROD-0044,Technology,Phones,South,Second Class,2023-06-29,2023-07-05,3,369.68,0.0,193.42
ORD-32740,CUST-0309,PROD-0040,Office Supplies,Paper,South,Same Day,2023-08-26,2023-09-02,10,1144.62,0.2,223.96
ORD-83989,CUST-0330,PROD-0163,Office Supplies,Art,East,First Class,2023-08-14,2023-08-15,8,674.47,0.1,176.1
ORD-87518,CUST-0029,PROD-0091,Office Supplies,Paper,East,Same Day,2023-08-20,2023-08-21,1,565.73,0.1,269.84
ORD-21835,CUST-0315,PROD-0153,Office Supplies,Storage,West,Standard Class,2023-08-19,2023-08-26,10,984.72,0.1,313.63
ORD-75715,CUST-0078,PROD-0016,Furniture,Chairs,East,Standard Class,2023-09-16,2023-09-22,3,77.93,0.5,-2.44
ORD-67595,CUST-0269,PROD-0134,Office Supplies,Binders,East,Second Class,2023-05-25,2023-05-29,7,1166.21,0.5,-92.56
ORD-92691,CUST-0332,PROD-0086,Technology,Machines,North,Same Day,2023-05-26,2023-05-29,10,1312.45,0.1,624.13
ORD-96980,CUST-0073,PROD-0090,Furniture,Furnishings,South,Standard Class,2023-06-08,2023-06-13,7,972.37,0.1,248.97
ORD-97833,CUST-0360,PROD-0190,Office Supplies,Paper,West,Second Class,2023-01-10,2023-01-13,5,286.79,0.0,142.67
ORD-73736,CUST-0099,PROD-0058,Technology,Accessories,North,Second Class,2023-02-21,2023-02-26,9,1255.98,0.3,362.57
ORD-54140,CUST-0449,PROD-0197,Office Supplies,Binders,West,First Class,2023-03-25,2023-03-27,10,1217.38,0.0,467.04
ORD-15726,CUST-0211,PROD-0094,Office Supplies,Binders,West,Second Class,2023-08-18,2023-08-20,9,373.97,0.2,48.17
ORD-35430,CUST-0189,PROD-0174,Office Supplies,Storage,West,Second Class,2023-07-15,2023-07-20,9,639.62,0.0,227.02
ORD-89254,CUST-0071,PROD-0065,Technology,Copiers,East,Standard Class,2023-12-31,2024-01-07,9,1279.73,0.1,607.66
ORD-31012,CUST-0140,PROD-0116,Office Supplies,Binders,West,Standard Class,2023-04-24,2023-05-01,8,1329.25,0.0,632.1
ORD-61964,CUST-0258,PROD-0096,Technology,Copiers,North,Second Class,2023-04-25,2023-04-26,6,1397.62,0.5,-132.76
ORD-29142,CUST-0071,PROD-0010,Furniture,Furnishings,South,Same Day,2023-08-18,2023-08-23,1,1360.67,0.0,711.93
ORD-29597,CUST-0281,PROD-0187,Office Supplies,Storage,North,Second Class,2023-05-02,2023-05-05,2,90.67,0.2,18.89
ORD-91633,CUST-0235,PROD-0017,Technology,Copiers,North,First Class,2023-03-15,2023-03-18,7,22.32,0.1,9.55
ORD-64600,CUST-0096,PROD-0171,Office Supplies,Paper,East,Standard Class,2023-09-27,2023-10-02,9,1183.89,0.3,158.35
ORD-61177,CUST-0448,PROD-0121,Technology,Copiers,East,Second Class,2023-01-09,2023-01-12,2,530.31,0.5,-51.51
ORD-23587,CUST-0396,PROD-0149,Office Supplies,Art,South,Standard Class,2023-06-30,2023-07-05,6,1223.99,0.0,429.48
ORD-99742,CUST-0238,PROD-0179,Furniture,Tables,South,Standard Class,2023-08-23,2023-08-24,5,318.35,0.0,106.41
ORD-51365,CUST-0478,PROD-0080,Office Supplies,Storage,West,Second Class,2023-01-19,2023-01-26,4,443.44,0.0,150.89
ORD-53506,CUST-0140,PROD-0032,Furniture,Furnishings,West,Same Day,2023-07-17,2023-07-20,3,754.38,0.2,218.62
ORD-78062,CUST-0137,PROD-0022,Office Supplies,Storage,North,Same Day,2023-11-05,2023-11-12,3,827.3,0.1,388.19
ORD-52981,CUST-0339,PROD-0076,Furniture,Furnishings,West,First Class,2023-12-20,2023-12-24,6,681.75,0.5,-109.77
ORD-56210,CUST-0315,PROD-0112,Furniture,Chairs,North,Same Day,2023-07-06,2023-07-11,3,1430.13,0.0,493.97
ORD-98878,CUST-0401,PROD-0113,Technology,Accessories,North,First Class,2023-11-27,2023-11-30,6,586.62,0.3,170.29
ORD-30111,CUST-0348,PROD-0116,Furniture,Bookcases,West,Standard Class,2023-10-21,2023-10-23,9,563.09,0.1,171.82
ORD-42717,CUST-0492,PROD-0030,Technology,Accessories,West,Same Day,2023-10-15,2023-10-16,5,1166.95,0.5,-39.54
ORD-90199,CUST-0147,PROD-0178,Furniture,Tables,North,First Class,2023-02-07,2023-02-11,3,1350.04,0.2,136.11
ORD-99381,CUST-0496,PROD-0082,Office Supplies,Art,North,Second Class,2023-06-03,2023-06-10,3,1073.48,0.5,-98.02
ORD-57381,CUST-0261,PROD-0058,Technology,Accessories,South,First Class,2023-09-10,2023-09-11,6,839.95,0.1,302.2
ORD-82305,CUST-0067,PROD-0157,Technology,Phones,East,Same Day,2023-09-03,2023-09-08,7,1158.36,0.3,321.88
ORD-51553,CUST-0329,PROD-0019,Furniture,Furnishings,East,First Class,2023-10-10,2023-10-16,10,289.31,0.0,136.04
ORD-17263,CUST-0426,PROD-0032,Office Supplies,Binders,East,First Class,2023-03-24,2023-03-27,4,532.11,0.3,16.77
ORD-20336,CUST-0129,PROD-0051,Office Supplies,Art,South,Second Class,2023-11-11,2023-11-16,2,763.81,0.0,322.68
ORD-86106,CUST-0079,PROD-0044,Office Supplies,Art,North,Standard Class,2023-02-11,2023-02-12,10,411.69,0.0,152.29
ORD-64602,CUST-0317,PROD-0164,Technology,Copiers,East,Second Class,2023-09-05,2023-09-07,7,460.2,0.0,181.05
ORD-30719,CUST-0226,PROD-0107,Furniture,Furnishings,South,Second Class,2023-11-07,2023-11-09,6,1295.0,0.1,362.26
ORD-55268,CUST-0500,PROD-0103,Technology,Machines,North,Second Class,2023-05-04,2023-05-08,2,415.86,0.0,231.94
ORD-16632,CUST-0149,PROD-0099,Office Supplies,Storage,South,First Class,2023-06-17,2023-06-22,6,300.95,0.0,135.58
ORD-77466,CUST-0240,PROD-0128,Furniture,Furnishings,North,Standard Class,2023-07-21,2023-07-26,8,1450.7,0.0,616.54
ORD-16377,CUST-0026,PROD-0073,Furniture,Furnishings,East,Standard Class,2023-02-25,2023-03-01,3,1326.03,0.5,-12.91
ORD-62855,CUST-0188,PROD-0012,Furniture,Chairs,South,Second Class,2023-10-11,2023-10-14,2,591.8,0.2,101.01
ORD-46663,CUST-0423,PROD-0160,Office Supplies,Paper,South,Standard Class,2023-07-21,2023-07-24,6,845.59,0.1,231.28
ORD-36090,CUST-0309,PROD-0131,Furniture,Chairs,North,Standard Class,2023-03-12,2023-03-18,6,1209.87,0.3,197.09
ORD-89463,CUST-0458,PROD-0132,Technology,Machines,East,First Class,2023-07-21,2023-07-26,5,898.71,0.3,46.3
ORD-79774,CUST-0251,PROD-0182,Office Supplies,Art,West,Standard Class,2023-07-08,2023-07-11,2,1470.25,0.3,305.37
ORD-92478,CUST-0014,PROD-0153,Furniture,Bookcases,South,Standard Class,2023-10-26,2023-10-30,3,795.86,0.5,-68.38
ORD-59832,CUST-0076,PROD-0175,Technology,Phones,North,First Class,2023-01-10,2023-01-14,6,639.79,0.2,123.38
ORD-63788,CUST-0257,PROD-0199,Office Supplies,Storage,North,First Class,2023-09-23,2023-09-25,9,501.07,0.5,-21.8
ORD-59391,CUST-0161,PROD-0045,Furniture,Bookcases,East,Second Class,2023-11-09,2023-11-13,4,1436.86,0.1,477.86
ORD-39473,CUST-0483,PROD-0077,Furniture,Tables,West,Second Class,2023-09-03,2023-09-06,9,1401.88,0.5,25.18
ORD-25974,CUST-0294,PROD-0174,Office Supplies,Storage,West,Second Class,2023-03-16,2023-03-19,1,445.69,0.5,34.0
ORD-67983,CUST-0336,PROD-0066,Office Supplies,Storage,South,First Class,2023-10-03,2023-10-06,9,1050.33,0.0,595.78
ORD-86917,CUST-0123,PROD-0063,Technology,Accessories,South,Standard Class,2023-02-21,2023-02-25,6,1081.69,0.0,427.96
ORD-28018,CUST-0003,PROD-0141,Technology,Copiers,West,Same Day,2023-11-30,2023-12-02,5,495.33,0.5,40.74
ORD-21725,CUST-0334,PROD-0147,Technology,Phones,South,Same Day,2023-04-01,2023-04-02,7,1186.18,0.0,378.41
ORD-47941,CUST-0449,PROD-0010,Technology,Machines,North,Second Class,2023-05-26,2023-05-30,9,795.99,0.0,274.36
ORD-71344,CUST-0140,PROD-0050,Technology,Machines,South,Same Day,2023-11-28,2023-12-01,3,40.84,0.1,10.73
ORD-84420,CUST-0346,PROD-0194,Technology,Accessories,West,Same Day,2023-09-21,2023-09-24,2,613.23,0.0,333.94
ORD-28430,CUST-0245,PROD-0083,Technology,Phones,East,Same Day,2023-05-01,2023-05-05,5,1431.97,0.1,465.77
ORD-85088,CUST-0006,PROD-0067,Office Supplies,Art,South,Standard Class,2023-12-08,2023-12-09,8,474.07,0.2,92.05
ORD-50760,CUST-0354,PROD-0031,Office Supplies,Art,East,First Class,2023-04-23,2023-04-25,8,246.71,0.5,-48.52
ORD-58971,CUST-0213,PROD-0180,Office Supplies,Storage,South,First Class,2023-12-15,2023-12-22,10,1312.24,0.0,580.47
ORD-79228,CUST-0361,PROD-0093,Technology,Phones,North,First Class,2023-10-21,2023-10-26,3,263.51,0.3,44.12
ORD-99167,CUST-0106,PROD-0184,Office Supplies,Storage,North,Same Day,2023-01-29,2023-02-02,3,779.61,0.2,179.95
ORD-83242,CUST-0237,PROD-0173,Furniture,Chairs,West,Second Class,2023-01-02,2023-01-08,4,875.9,0.0,414.21
ORD-18357,CUST-0278,PROD-0016,Technology,Copiers,North,Second Class,2023-07-29,2023-07-31,3,1153.42,0.5,-108.15
ORD-65097,CUST-0192,PROD-0098,Furniture,Furnishings,West,Standard Class,2023-12-16,2023-12-22,9,216.82,0.1,100.69
ORD-80419,CUST-0202,PROD-0136,Technology,Accessories,North,Standard Class,2023-06-02,2023-06-06,9,647.71,0.2,99.09
ORD-42441,CUST-0236,PROD-0089,Technology,Machines,South,Standard Class,2023-01-17,2023-01-24,7,930.09,0.0,490.9
ORD-18819,CUST-0052,PROD-0153,Technology,Copiers,North,First Class,2023-01-23,2023-01-27,8,366.82,0.0,137.07
ORD-17398,CUST-0072,PROD-0129,Furniture,Tables,East,Second Class,2023-05-02,2023-05-05,3,1478.83,0.3,345.58
ORD-49387,CUST-0141,PROD-0016,Office Supplies,Binders,West,Same Day,2023-01-25,2023-01-28,7,1182.99,0.1,344.38
ORD-63511,CUST-0077,PROD-0077,Furniture,Tables,West,First Class,2023-04-26,2023-04-29,3,1212.55,0.0,522.95
ORD-64592,CUST-0286,PROD-0136,Technology,Copiers,South,Second Class,2023-04-15,2023-04-18,2,1384.89,0.1,654.03
ORD-34966,CUST-0027,PROD-0069,Furniture,Chairs,North,First Class,2023-10-28,2023-11-03,9,341.18,0.0,115.71
ORD-53642,CUST-0156,PROD-0004,Technology,Accessories,North,Same Day,2023-05-05,2023-05-11,10,1061.58,0.2,133.19
ORD-82362,CUST-0165,PROD-0199,Furniture,Furnishings,West,Second Class,2023-06-07,2023-06-10,6,778.97,0.2,202.69
ORD-71537,CUST-0390,PROD-0082,Technology,Machines,East,Same Day,2023-01-24,2023-01-29,4,1117.05,0.0,582.84
ORD-86550,CUST-0297,PROD-0185,Furniture,Bookcases,South,First Class,2023-06-18,2023-06-20,7,863.29,0.0,388.66
ORD-95800,CUST-0484,PROD-0176,Furniture,Bookcases,West,Same Day,2023-08-24,2023-08-26,6,270.51,0.5,-17.3
ORD-34123,CUST-0470,PROD-0139,Office Supplies,Paper,North,Standard Class,2023-12-09,2023-12-10,1,630.34,0.5,19.27
ORD-29795,CUST-0005,PROD-0056,Office Supplies,Storage,East,Standard Class,2023-11-13,2023-11-19,10,1370.87,0.5,-63.55
ORD-10866,CUST-0273,PROD-0142,Furniture,Chairs,North,Second Class,2023-10-02,2023-10-05,1,763.28,0.5,-78.01
ORD-33496,CUST-0055,PROD-0025,Office Supplies,Binders,South,First Class,2023-11-14,2023-11-19,5,1226.52,0.1,320.76
